rootId:START_ID,rootId:END_ID,surah:int,verse:int,:TYPE
112,118,2,25,OCCURS
113,114,2,25,OCCURS
113,89,2,25,OCCURS
113,24,2,25,OCCURS
113,98,2,25,OCCURS
113,42,2,25,OCCURS
113,27,2,25,OCCURS
113,100,2,25,OCCURS
113,115,2,25,OCCURS
113,116,2,25,OCCURS
113,117,2,25,OCCURS
113,118,2,25,OCCURS
114,89,2,25,OCCURS
114,24,2,25,OCCURS
114,98,2,25,OCCURS
114,42,2,25,OCCURS
114,27,2,25,OCCURS
114,100,2,25,OCCURS
114,115,2,25,OCCURS
114,116,2,25,OCCURS
114,117,2,25,OCCURS
114,118,2,25,OCCURS
89,24,2,25,OCCURS
89,98,2,25,OCCURS
89,42,2,25,OCCURS
89,27,2,25,OCCURS
89,100,2,25,OCCURS
89,115,2,25,OCCURS
89,116,2,25,OCCURS
89,117,2,25,OCCURS
89,118,2,25,OCCURS
24,98,2,25,OCCURS
24,42,2,25,OCCURS
24,27,2,25,OCCURS
24,100,2,25,OCCURS
24,115,2,25,OCCURS
24,116,2,25,OCCURS
24,117,2,25,OCCURS
24,118,2,25,OCCURS
98,42,2,25,OCCURS
98,27,2,25,OCCURS
98,100,2,25,OCCURS
98,115,2,25,OCCURS
98,116,2,25,OCCURS
98,117,2,25,OCCURS
98,118,2,25,OCCURS
42,27,2,25,OCCURS
42,100,2,25,OCCURS
42,115,2,25,OCCURS
42,116,2,25,OCCURS
42,117,2,25,OCCURS
42,118,2,25,OCCURS
27,100,2,25,OCCURS
27,115,2,25,OCCURS
27,116,2,25,OCCURS
27,117,2,25,OCCURS
27,118,2,25,OCCURS
100,115,2,25,OCCURS
100,116,2,25,OCCURS
100,117,2,25,OCCURS
100,118,2,25,OCCURS
115,116,2,25,OCCURS
115,117,2,25,OCCURS
115,118,2,25,OCCURS
116,117,2,25,OCCURS
116,118,2,25,OCCURS
117,118,2,25,OCCURS
119,120,2,26,OCCURS
119,65,2,26,OCCURS
119,121,2,26,OCCURS
119,122,2,26,OCCURS
119,21,2,26,OCCURS
119,5,2,26,OCCURS
119,123,2,26,OCCURS
119,4,2,26,OCCURS
119,31,2,26,OCCURS
119,42,2,26,OCCURS
119,124,2,26,OCCURS
119,17,2,26,OCCURS
119,125,2,26,OCCURS
119,11,2,26,OCCURS
119,126,2,26,OCCURS
120,65,2,26,OCCURS
120,121,2,26,OCCURS
120,122,2,26,OCCURS
120,21,2,26,OCCURS
120,5,2,26,OCCURS
120,123,2,26,OCCURS
120,4,2,26,OCCURS
120,31,2,26,OCCURS
120,42,2,26,OCCURS
120,124,2,26,OCCURS
120,17,2,26,OCCURS
120,125,2,26,OCCURS
120,11,2,26,OCCURS
120,126,2,26,OCCURS
65,121,2,26,OCCURS
65,122,2,26,OCCURS
65,21,2,26,OCCURS
65,5,2,26,OCCURS
65,123,2,26,OCCURS
65,4,2,26,OCCURS
65,31,2,26,OCCURS
65,42,2,26,OCCURS
65,124,2,26,OCCURS
65,17,2,26,OCCURS
65,125,2,26,OCCURS
65,11,2,26,OCCURS
65,126,2,26,OCCURS
121,122,2,26,OCCURS
121,21,2,26,OCCURS
121,5,2,26,OCCURS
121,123,2,26,OCCURS
121,4,2,26,OCCURS
121,31,2,26,OCCURS
121,42,2,26,OCCURS
121,124,2,26,OCCURS
121,17,2,26,OCCURS
121,125,2,26,OCCURS
121,11,2,26,OCCURS
121,126,2,26,OCCURS
122,21,2,26,OCCURS
122,5,2,26,OCCURS
122,123,2,26,OCCURS
122,4,2,26,OCCURS
122,31,2,26,OCCURS
122,42,2,26,OCCURS
122,124,2,26,OCCURS
122,17,2,26,OCCURS
122,125,2,26,OCCURS
122,11,2,26,OCCURS
122,126,2,26,OCCURS
21,5,2,26,OCCURS
21,123,2,26,OCCURS
21,4,2,26,OCCURS
21,31,2,26,OCCURS
21,42,2,26,OCCURS
21,124,2,26,OCCURS
21,17,2,26,OCCURS
21,125,2,26,OCCURS
21,11,2,26,OCCURS
21,126,2,26,OCCURS
5,123,2,26,OCCURS
5,4,2,26,OCCURS
5,31,2,26,OCCURS
5,42,2,26,OCCURS
5,124,2,26,OCCURS
5,17,2,26,OCCURS
5,125,2,26,OCCURS
5,11,2,26,OCCURS
5,126,2,26,OCCURS
123,4,2,26,OCCURS
123,31,2,26,OCCURS
123,42,2,26,OCCURS
123,124,2,26,OCCURS
123,17,2,26,OCCURS
123,125,2,26,OCCURS
123,11,2,26,OCCURS
123,126,2,26,OCCURS
4,31,2,26,OCCURS
4,42,2,26,OCCURS
4,124,2,26,OCCURS
4,17,2,26,OCCURS
4,125,2,26,OCCURS
4,11,2,26,OCCURS
4,126,2,26,OCCURS
31,42,2,26,OCCURS
31,124,2,26,OCCURS
31,17,2,26,OCCURS
31,125,2,26,OCCURS
31,11,2,26,OCCURS
31,126,2,26,OCCURS
42,124,2,26,OCCURS
42,17,2,26,OCCURS
42,125,2,26,OCCURS
42,11,2,26,OCCURS
42,126,2,26,OCCURS
124,17,2,26,OCCURS
124,125,2,26,OCCURS
124,11,2,26,OCCURS
124,126,2,26,OCCURS
17,125,2,26,OCCURS
17,11,2,26,OCCURS
17,126,2,26,OCCURS
125,11,2,26,OCCURS
125,126,2,26,OCCURS
11,126,2,26,OCCURS
127,128,2,27,OCCURS
127,129,2,27,OCCURS
127,130,2,27,OCCURS
127,131,2,27,OCCURS
127,132,2,27,OCCURS
127,133,2,27,OCCURS
127,51,2,27,OCCURS
127,52,2,27,OCCURS
127,134,2,27,OCCURS
128,129,2,27,OCCURS
128,130,2,27,OCCURS
128,131,2,27,OCCURS
128,132,2,27,OCCURS
128,133,2,27,OCCURS
128,51,2,27,OCCURS
128,52,2,27,OCCURS
128,134,2,27,OCCURS
129,130,2,27,OCCURS
129,131,2,27,OCCURS
129,132,2,27,OCCURS
129,133,2,27,OCCURS
129,51,2,27,OCCURS
129,52,2,27,OCCURS
129,134,2,27,OCCURS
130,131,2,27,OCCURS
130,132,2,27,OCCURS
130,133,2,27,OCCURS
130,51,2,27,OCCURS
130,52,2,27,OCCURS
130,134,2,27,OCCURS
131,132,2,27,OCCURS
131,133,2,27,OCCURS
131,51,2,27,OCCURS
131,52,2,27,OCCURS
131,134,2,27,OCCURS
132,133,2,27,OCCURS
132,51,2,27,OCCURS
132,52,2,27,OCCURS
132,134,2,27,OCCURS
133,51,2,27,OCCURS
133,52,2,27,OCCURS
133,134,2,27,OCCURS
51,52,2,27,OCCURS
51,134,2,27,OCCURS
52,134,2,27,OCCURS
135,31,2,28,OCCURS
135,49,2,28,OCCURS
135,85,2,28,OCCURS
135,119,2,28,OCCURS
135,76,2,28,OCCURS
31,49,2,28,OCCURS
31,85,2,28,OCCURS
31,119,2,28,OCCURS
31,76,2,28,OCCURS
49,85,2,28,OCCURS
49,119,2,28,OCCURS
49,76,2,28,OCCURS
85,119,2,28,OCCURS
85,76,2,28,OCCURS
119,76,2,28,OCCURS
93,52,2,29,OCCURS
93,136,2,29,OCCURS
93,32,2,29,OCCURS
93,1,2,29,OCCURS
93,137,2,29,OCCURS
93,89,2,29,OCCURS
93,91,2,29,OCCURS
93,5,2,29,OCCURS
52,136,2,29,OCCURS
52,32,2,29,OCCURS
52,1,2,29,OCCURS
52,137,2,29,OCCURS
52,89,2,29,OCCURS
52,91,2,29,OCCURS
52,5,2,29,OCCURS
136,32,2,29,OCCURS
136,1,2,29,OCCURS
136,137,2,29,OCCURS
136,89,2,29,OCCURS
136,91,2,29,OCCURS
136,5,2,29,OCCURS
32,1,2,29,OCCURS
32,137,2,29,OCCURS
32,89,2,29,OCCURS
32,91,2,29,OCCURS
32,5,2,29,OCCURS
1,137,2,29,OCCURS
1,89,2,29,OCCURS
1,91,2,29,OCCURS
1,5,2,29,OCCURS
137,89,2,29,OCCURS
137,91,2,29,OCCURS
137,5,2,29,OCCURS
89,91,2,29,OCCURS
89,5,2,29,OCCURS
91,5,2,29,OCCURS
42,4,2,30,OCCURS
42,6,2,30,OCCURS
42,80,2,30,OCCURS
42,52,2,30,OCCURS
42,138,2,30,OCCURS
42,51,2,30,OCCURS
42,139,2,30,OCCURS
42,140,2,30,OCCURS
42,141,2,30,OCCURS
42,3,2,30,OCCURS
42,142,2,30,OCCURS
42,5,2,30,OCCURS
4,6,2,30,OCCURS
4,80,2,30,OCCURS
